ID_Sesion,NivelEstudiante,Disciplina,FechaSesion,DuracionMinutos,TotalIndicaciones,TipoTarea,NivelAsistenciaIA,ResultadoFinal,UsadoNuevamente,CalificacionSatisfaccion
SESSION00085,Universitario,Negocios,2024-12-24,16.28,3,Redacción,2,Idea Rezagada,True,1.5
SESSION00086,Preparatoria,Ingeniería,2025-01-01,7.34,2,Redacción,2,Confundido,True,2.6
SESSION00088,Preparatoria,Negocios,2025-01-24,14.88,5,Ayuda con Tareas,3,Tarea Completada,True,4.1
SESSION00089,Universitario,Historia,2025-04-01,14.59,4,Ayuda con Tareas,3,Tarea Completada,True,3.5
SESSION00090,Universitario,Negocios,2025-04-15,4.65,1,Estudio,4,Confundido,True,3.1
SESSION00091,Universitario,Ciencias de la Computación,2024-11-03,24.83,8,Redacción,3,Tarea Completada,True,3.4
SESSION00092,Universitario,Biología,2024-08-09,10.39,2,Redacción,5,Tarea Completada,True,5.0
SESSION00093,Universitario,Matemáticas,2025-02-21,35.49,16,Ayuda con Tareas,5,Confundido,True,5.0
SESSION00094,Graduado,Historia,2025-05-04,12.9,3,Ayuda con Tareas,2,Tarea Completada,True,1.0
SESSION00095,Preparatoria,Historia,2024-07-06,9.77,2,Ayuda con Tareas,2,Tarea Completada,True,2.0
SESSION00096,Graduado,Biología,2025-04-25,11.12,4,Redacción,4,Gave Up,True,4.6
SESSION00097,Preparatoria,Historia,2025-05-14,30.82,14,Ayuda con Tareas,4,Tarea Completada,True,2.3
SESSION00098,Universitario,Ingeniería,2025-02-26,27.26,7,Ayuda con Tareas,3,Gave Up,True,2.8
SESSION00100,Graduado,Psicología,2024-09-27,4.68,1,Estudio,3,Confundido,True,2.8
SESSION00101,Graduado,Biología,2024-10-23,24.33,5,Ayuda con Tareas,4,Idea Rezagada,True,3.5
bbb,Universitario,Negocios,2025-01-18,16.16,4,Estudio,4,Tarea Completada,True,3.2
SESSION00103,Universitario,Negocios,2025-05-09,8.75,3,Ayuda con Tareas,3,Tarea Completada,True,1.0
SESSION00104,Universitario,Psicología,2024-12-06,14.9,3,Redacción,3,Idea Rezagada,True,1.6
SESSION00106,Universitario,Negocios,2024-07-09,7.82,2,Estudio,4,Idea Rezagada,True,3.7
SESSION00107,Universitario,Psicología,2025-05-23,39.45,8,Estudio,3,Idea Rezagada,True,3.2
SESSION00108,Preparatoria,Negocios,2024-08-04,16.63,4,Estudio,3,Confundido,True,1.5
SESSION00109,Graduado,Matemáticas,2025-03-10,41.83,3,Estudio,2,Idea Rezagada,True,1.9
SESSION00110,Graduado,Ingeniería,2025-06-23,15.97,5,Redacción,4,Tarea Completada,True,3.5
SESSION00111,Graduado,Ciencias de la Computación,2024-10-18,39.43,16,Investigación,4,Gave Up,True,5.0
SESSION00113,Universitario,Biología,2024-08-16,10.94,5,Programación,5,Idea Rezagada,True,3.6
SESSION00114,Universitario,Psicología,2025-03-21,25.5,6,Ayuda con Tareas,3,Tarea Completada,True,3.6
SESSION00115,Preparatoria,Matemáticas,2024-10-02,23.19,9,Ayuda con Tareas,4,Tarea Completada,True,2.9
SESSION00116,Preparatoria,Negocios,2025-05-06,13.61,3,Redacción,3,Idea Rezagada,True,3.6
SESSION00117,Graduado,Historia,2024-11-18,18.01,4,Redacción,3,Idea Rezagada,True,3.1
SESSION00118,Universitario,Biología,2024-08-22,9.35,4,Redacción,4,Confundido,True,3.7
SESSION00119,Universitario,Ciencias de la Computación,2024-10-11,15.91,5,Investigación,4,Idea Rezagada,True,3.1
SESSION00120,Universitario,Matemáticas,2024-11-03,20.93,9,Estudio,5,Tarea Completada,True,5.0
SESSION00121,Universitario,Negocios,2025-05-20,33.88,7,Redacción,5,Idea Rezagada,True,4.3
SESSION00122,Preparatoria,Biología,2024-12-01,7.12,3,Programación,3,Tarea Completada,True,2.4
SESSION00124,Preparatoria,Matemáticas,2025-01-16,16.79,4,Lluvia de Ideas,5,Confundido,True,4.4
SESSION00125,Graduado,Biología,2024-11-12,13.61,3,Lluvia de Ideas,5,Tarea Completada,True,3.6
SESSION00126,Universitario,Matemáticas,2024-07-23,19.28,5,Redacción,3,Tarea Completada,True,2.5
SESSION00128,Universitario,Negocios,2024-10-21,18.61,4,Redacción,5,Tarea Completada,True,4.4
SESSION00129,Preparatoria,Ciencias de la Computación,2025-04-06,14.37,4,Investigación,5,Tarea Completada,True,4.7
SESSION00131,Universitario,Historia,2024-11-29,37.72,7,Redacción,3,Tarea Completada,True,2.9
SESSION00132,Universitario,Matemáticas,2024-07-02,8.05,2,Programación,5,Tarea Completada,True,4.5
SESSION00133,Universitario,Psicología,2024-07-04,20.21,5,Estudio,3,Idea Rezagada,True,2.6
SESSION00134,Graduado,Psicología,2024-10-12,14.06,3,Ayuda con Tareas,5,Gave Up,True,5.0
SESSION00135,Universitario,Ciencias de la Computación,2024-10-29,15.82,4,Redacción,4,Idea Rezagada,True,3.6
SESSION00136,Preparatoria,Ciencias de la Computación,2024-09-03,6.97,2,Estudio,4,Gave Up,True,4.2
SESSION00137,Universitario,Negocios,2025-03-27,2.54,1,Programación,5,Idea Rezagada,True,5.0
SESSION00140,Graduado,Matemáticas,2024-08-16,8.62,2,Programación,3,Tarea Completada,True,2.1
SESSION00142,Universitario,Historia,2025-01-13,20.13,5,Investigación,5,Idea Rezagada,True,5.0
SESSION00143,Graduado,Historia,2025-02-13,15.46,4,Estudio,5,Gave Up,True,5.0
SESSION00144,Universitario,Historia,2025-02-11,14.86,6,Lluvia de Ideas,3,Tarea Completada,True,2.7
SESSION00145,Graduado,Ciencias de la Computación,2025-05-20,18.14,6,Programación,3,Tarea Completada,True,2.3
SESSION00146,Preparatoria,Negocios,2024-08-01,16.64,7,Lluvia de Ideas,5,Tarea Completada,True,5.0
SESSION00147,Universitario,Matemáticas,2024-11-11,31.16,6,Redacción,3,Idea Rezagada,True,2.8
SESSION00148,Universitario,Ingeniería,2024-08-07,11.21,3,Estudio,5,Idea Rezagada,True,1.6
SESSION00149,Universitario,Biología,2024-07-30,10.41,2,Redacción,4,Tarea Completada,True,2.8
SESSION00150,Universitario,Matemáticas,2025-02-25,26.97,2,Ayuda con Tareas,4,Confundido,True,3.7
SESSION00151,Preparatoria,Ciencias de la Computación,2025-04-18,22.46,10,Estudio,3,Confundido,True,2.6
SESSION00152,Graduado,Psicología,2024-10-31,7.53,2,Estudio,4,Tarea Completada,True,3.2
SESSION00153,Graduado,Biología,2024-10-25,14.95,3,Programación,4,Idea Rezagada,True,2.2
SESSION00154,Universitario,Ingeniería,2025-06-04,15.7,5,Ayuda con Tareas,5,Tarea Completada,True,3.3
SESSION00155,Graduado,Ciencias de la Computación,2024-08-11,25.73,8,Ayuda con Tareas,4,Tarea Completada,True,3.7
SESSION00156,Universitario,Negocios,2024-09-02,7.61,3,Ayuda con Tareas,3,Tarea Completada,True,3.2
SESSION00157,Universitario,Negocios,2025-02-02,20.22,6,Ayuda con Tareas,2,Tarea Completada,True,1.0
SESSION00160,Universitario,Negocios,2025-04-30,40.09,1,Programación,4,Tarea Completada,True,4.0
SESSION00161,Universitario,Negocios,2024-07-24,11.77,5,Programación,3,Tarea Completada,True,2.9
SESSION00162,Universitario,Historia,2024-09-21,13.1,2,Redacción,3,Tarea Completada,True,1.3
SESSION00163,Graduado,Psicología,2024-07-13,3.22,1,Ayuda con Tareas,5,Tarea Completada,True,4.8
SESSION00164,Preparatoria,Ingeniería,2024-10-09,11.77,2,Redacción,5,Tarea Completada,True,4.2
SESSION00165,Universitario,Ciencias de la Computación,2024-10-22,8.04,1,Redacción,3,Tarea Completada,True,3.3
SESSION00166,Preparatoria,Negocios,2025-05-16,14.99,1,Estudio,2,Idea Rezagada,True,1.0
SESSION00168,Universitario,Matemáticas,2025-01-23,40.08,9,Estudio,4,Tarea Completada,True,4.1
SESSION00170,Universitario,Ciencias de la Computación,2025-01-20,6.85,1,Redacción,4,Confundido,True,4.7
SESSION00171,Universitario,Negocios,2025-06-13,24.99,5,Estudio,4,Idea Rezagada,True,3.3
SESSION00172,Universitario,Ingeniería,2025-05-23,1.2,1,Estudio,4,Tarea Completada,True,3.9
SESSION00173,Universitario,Ingeniería,2024-07-24,32.48,8,Ayuda con Tareas,3,Tarea Completada,True,3.3
SESSION00174,Preparatoria,Matemáticas,2025-05-05,13.04,3,Redacción,2,Confundido,True,1.0
SESSION00175,Universitario,Ingeniería,2025-03-27,20.31,7,Estudio,4,Idea Rezagada,True,4.0
SESSION00176,Universitario,Psicología,2025-01-23,17.54,3,Redacción,3,Tarea Completada,True,3.1
SESSION00177,Universitario,Negocios,2025-06-22,13.47,2,Redacción,4,Tarea Completada,True,3.8
SESSION00179,Universitario,Ingeniería,2025-05-27,11.43,2,Redacción,3,Tarea Completada,True,3.3
SESSION00180,Graduado,Psicología,2025-03-19,19.55,8,Programación,3,Confundido,True,1.2
SESSION00181,Universitario,Ciencias de la Computación,2025-02-03,8.34,2,Redacción,3,Tarea Completada,True,4.9
SESSION00182,Universitario,Ciencias de la Computación,2024-10-17,3.55,1,Estudio,3,Tarea Completada,True,2.3
SESSION00183,Universitario,Psicología,2025-06-10,9.93,3,Programación,5,Tarea Completada,True,5.0
SESSION00184,Preparatoria,Negocios,2025-01-24,3.64,1,Ayuda con Tareas,5,Idea Rezagada,True,4.4
SESSION00185,Universitario,Negocios,2025-03-06,38.8,8,Redacción,3,Idea Rezagada,True,3.4
SESSION00186,Preparatoria,Psicología,2024-10-17,8.9,2,Estudio,5,Confundido,True,4.7
SESSION00187,Universitario,Negocios,2024-08-02,20.62,4,Redacción,2,Tarea Completada,True,2.1
SESSION00188,Graduado,Biología,2025-06-06,27.27,6,Programación,5,Tarea Completada,True,4.5
SESSION00189,Universitario,Biología,2024-11-27,39.67,19,Programación,4,Tarea Completada,True,3.9
SESSION00190,Preparatoria,Matemáticas,2025-04-12,9.45,3,Ayuda con Tareas,4,Tarea Completada,True,3.5
SESSION00191,Graduado,Ciencias de la Computación,2025-06-20,13.43,2,Redacción,3,Gave Up,True,3.9
SESSION00192,Universitario,Ciencias de la Computación,2024-07-09,11.71,3,Ayuda con Tareas,3,Confundido,True,2.9
SESSION00193,Graduado,Ciencias de la Computación,2024-10-23,16.22,5,Ayuda con Tareas,3,Tarea Completada,True,3.2
SESSION00194,Universitario,Biología,2025-06-15,19.03,4,Estudio,3,Gave Up,True,3.6
SESSION00195,Universitario,Ciencias de la Computación,2025-05-30,10.37,4,Estudio,4,Confundido,True,4.3
SESSION00196,Universitario,Negocios,2024-12-04,37.05,14,Estudio,5,Idea Rezagada,True,5.0
SESSION00198,Universitario,Ciencias de la Computación,2025-03-06,72.82,25,Ayuda con Tareas,2,Gave Up,True,2.0
SESSION00199,Graduado,Ciencias de la Computación,2024-10-31,24.43,5,Ayuda con Tareas,5,Tarea Completada,True,5.0
SESSION00201,Graduado,Negocios,2025-04-07,1.68,1,Ayuda con Tareas,3,Confundido,True,1.7
SESSION00202,Graduado,Ciencias de la Computación,2024-07-14,13.99,2,Ayuda con Tareas,3,Confundido,True,4.3
SESSION00203,Universitario,Historia,2024-08-16,23.58,6,Programación,4,Idea Rezagada,True,3.9
SESSION00204,Preparatoria,Biología,2024-07-20,19.3,6,Estudio,4,Tarea Completada,True,2.5
SESSION00205,Preparatoria,Biología,2025-05-02,28.67,6,Ayuda con Tareas,4,Tarea Completada,True,2.5
SESSION00206,Graduado,Psicología,2025-02-07,14.96,4,Estudio,2,Idea Rezagada,True,1.8
SESSION00207,Universitario,Negocios,2024-06-25,47.16,17,Estudio,4,Tarea Completada,True,3.3
SESSION00209,Universitario,Ingeniería,2025-06-05,39.95,9,Ayuda con Tareas,4,Gave Up,True,3.9
SESSION00211,Universitario,Matemáticas,2024-07-10,7.55,6,Redacción,4,Gave Up,True,5.0
SESSION00212,Preparatoria,Biología,2024-12-23,20.2,5,Estudio,3,Tarea Completada,True,4.0
SESSION00213,Universitario,Psicología,2025-05-04,20.35,7,Programación,4,Tarea Completada,True,5.0
SESSION00214,Universitario,Ciencias de la Computación,2024-11-11,84.15,31,Ayuda con Tareas,5,Confundido,True,5.0
SESSION00215,Universitario,Biología,2024-11-28,10.54,4,Redacción,5,Idea Rezagada,True,5.0
SESSION00216,Preparatoria,Historia,2025-01-20,5.76,1,Ayuda con Tareas,5,Tarea Completada,True,5.0
SESSION00217,Universitario,Ingeniería,2024-08-04,10.93,3,Investigación,1,Confundido,True,2.3
SESSION00218,Universitario,Biología,2024-10-04,11.12,2,Ayuda con Tareas,3,Tarea Completada,True,2.5
SESSION00219,Universitario,Psicología,2024-08-24,43.1,12,Ayuda con Tareas,3,Idea Rezagada,True,3.0
SESSION00220,Graduado,Ciencias de la Computación,2025-02-08,5.18,1,Estudio,4,Tarea Completada,True,4.9
SESSION00221,Graduado,Negocios,2025-06-23,23.58,6,Redacción,3,Idea Rezagada,True,3.2
SESSION00222,Universitario,Ingeniería,2025-01-27,30.16,11,Ayuda con Tareas,2,Tarea Completada,True,2.4
SESSION00223,Universitario,Biología,2024-08-05,17.16,5,Programación,3,Tarea Completada,True,2.4
SESSION00225,Graduado,Ingeniería,2024-09-28,15.24,5,Estudio,4,Tarea Completada,True,4.3
SESSION00226,Graduado,Biología,2024-07-25,44.81,11,Redacción,5,Tarea Completada,True,4.9
SESSION00227,Preparatoria,Historia,2024-10-31,18.58,8,Investigación,5,Confundido,True,3.8
SESSION00229,Graduado,Negocios,2024-09-03,62.93,17,Redacción,2,Tarea Completada,True,1.9
SESSION00230,Universitario,Ciencias de la Computación,2025-03-02,33.3,7,Programación,3,Confundido,True,2.3
SESSION00231,Graduado,Psicología,2025-06-15,18.47,8,Estudio,2,Idea Rezagada,True,3.7
SESSION00232,Universitario,Psicología,2025-01-30,46.97,20,Ayuda con Tareas,3,Tarea Completada,True,1.0
SESSION00233,Universitario,Psicología,2025-03-23,16.77,4,Redacción,2,Idea Rezagada,True,1.5
SESSION00234,Preparatoria,Historia,2025-05-26,15.87,3,Programación,4,Gave Up,True,3.3
SESSION00235,Universitario,Psicología,2024-08-03,15.21,7,Redacción,2,Tarea Completada,True,1.1
SESSION00236,Universitario,Ciencias de la Computación,2025-02-23,29.19,10,Redacción,2,Tarea Completada,True,2.0
SESSION00237,Universitario,Psicología,2025-05-05,28.1,10,Programación,3,Tarea Completada,True,1.4
SESSION00238,Graduado,Negocios,2024-06-30,10.52,4,Redacción,4,Tarea Completada,True,3.5
SESSION00239,Graduado,Matemáticas,2024-12-23,39.41,8,Redacción,3,Tarea Completada,True,3.0
SESSION00240,Universitario,Psicología,2024-09-16,8.87,4,Ayuda con Tareas,3,Confundido,True,4.1
SESSION00241,Universitario,Ingeniería,2025-04-03,28.1,13,Redacción,5,Idea Rezagada,True,5.0
SESSION00242,Graduado,Biología,2025-03-26,7.22,2,Redacción,5,Gave Up,True,4.7
SESSION00243,Universitario,Negocios,2024-08-12,4.8,2,Ayuda con Tareas,2,Tarea Completada,True,2.4
SESSION00245,Universitario,Ingeniería,2025-04-06,20.1,5,Programación,4,Tarea Completada,True,4.2
SESSION00247,Graduado,Biología,2025-05-25,17.91,7,Estudio,5,Idea Rezagada,True,3.7
SESSION00248,Graduado,Negocios,2025-03-16,17.27,4,Investigación,4,Tarea Completada,True,4.6
SESSION00249,Preparatoria,Historia,2025-01-07,22.81,6,Ayuda con Tareas,4,Tarea Completada,True,3.1
SESSION00250,Universitario,Biología,2024-09-24,27.42,5,Ayuda con Tareas,3,Tarea Completada,True,4.2
SESSION00251,Universitario,Historia,2024-11-29,13.08,4,Ayuda con Tareas,3,Tarea Completada,True,4.0
SESSION00252,Universitario,Historia,2024-06-26,25.74,6,Estudio,3,Confundido,True,3.5
SESSION00253,Graduado,Biología,2025-03-15,11.92,4,Estudio,3,Tarea Completada,True,1.0
SESSION00254,Graduado,Negocios,2025-01-13,23.44,6,Programación,5,Tarea Completada,True,4.9
SESSION00255,Universitario,Matemáticas,2025-05-29,19.44,7,Lluvia de Ideas,4,Idea Rezagada,True,3.8
SESSION00256,Universitario,Negocios,2024-10-08,12.1,2,Estudio,5,Idea Rezagada,True,4.7
SESSION00257,Universitario,Ciencias de la Computación,2025-06-23,32.53,11,Estudio,3,Idea Rezagada,True,2.1
SESSION00258,Graduado,Psicología,2025-04-28,11.69,5,Ayuda con Tareas,3,Tarea Completada,True,2.6
SESSION00259,Preparatoria,Psicología,2025-04-03,36.98,9,Redacción,4,Confundido,True,4.6
SESSION00260,Universitario,Biología,2025-04-21,5.58,1,Redacción,4,Tarea Completada,True,4.7
SESSION00261,Graduado,Historia,2025-05-16,27.09,6,Estudio,3,Idea Rezagada,True,2.5
SESSION00262,Graduado,Ciencias de la Computación,2024-09-04,10.34,4,Programación,3,Gave Up,True,2.5
SESSION00263,Universitario,Biología,2025-01-01,67.56,21,Redacción,3,Tarea Completada,True,3.8
SESSION00264,Universitario,Matemáticas,2025-01-22,17.13,6,Estudio,4,Gave Up,True,3.8
SESSION00265,Universitario,Ingeniería,2024-09-24,13.31,1,Redacción,3,Confundido,True,4.6
SESSION00267,Universitario,Ciencias de la Computación,2024-12-07,2.32,1,Redacción,5,Tarea Completada,True,2.3
SESSION00269,Universitario,Ciencias de la Computación,2025-02-17,20.42,5,Programación,4,Tarea Completada,True,2.5
SESSION00271,Graduado,Ciencias de la Computación,2024-11-21,37.77,11,Programación,4,Tarea Completada,True,3.9
SESSION00273,Preparatoria,Matemáticas,2025-05-10,9.13,4,Programación,5,Tarea Completada,True,4.1
SESSION00274,Universitario,Ingeniería,2025-01-14,8.67,3,Programación,4,Gave Up,True,4.2
SESSION00275,Universitario,Ciencias de la Computación,2024-10-15,5.8,1,Programación,3,Tarea Completada,True,3.4
SESSION00276,Universitario,Historia,2024-11-04,13.93,6,Programación,4,Confundido,True,4.1
SESSION00277,Graduado,Biología,2024-08-15,7.68,1,Ayuda con Tareas,4,Gave Up,True,4.4
SESSION00278,Preparatoria,Biología,2024-11-28,35.9,13,Redacción,2,Tarea Completada,True,1.5
SESSION00279,Universitario,Biología,2025-02-08,33.35,12,Estudio,4,Idea Rezagada,True,3.3
SESSION00280,Universitario,Historia,2024-11-30,11.31,4,Estudio,4,Tarea Completada,True,3.6
SESSION00281,Universitario,Psicología,2025-06-12,6.85,1,Estudio,4,Confundido,True,3.9
SESSION00282,Universitario,Ingeniería,2025-02-03,46.75,1,Redacción,4,Tarea Completada,True,3.8
SESSION00283,Graduado,Matemáticas,2024-10-13,30.02,7,Ayuda con Tareas,3,Confundido,True,2.2
SESSION00284,Graduado,Ingeniería,2024-10-06,25.69,3,Investigación,2,Gave Up,True,1.0
SESSION00285,Preparatoria,Ciencias de la Computación,2024-09-28,32.81,9,Estudio,2,Tarea Completada,True,1.0
SESSION00286,Universitario,Biología,2025-02-18,20.22,5,Investigación,2,Confundido,True,1.0
SESSION00287,Graduado,Matemáticas,2025-05-22,6.57,1,Estudio,2,Confundido,True,1.3
SESSION00288,Universitario,Biología,2025-06-04,14.75,3,Estudio,4,Tarea Completada,True,4.6
SESSION00290,Preparatoria,Ciencias de la Computación,2025-03-25,33.99,15,Estudio,5,Tarea Completada,True,4.8
SESSION00291,Preparatoria,Biología,2024-12-04,26.87,7,Estudio,4,Tarea Completada,True,3.9
SESSION00293,Preparatoria,Biología,2025-03-02,32.25,8,Redacción,4,Tarea Completada,True,4.1
SESSION00294,Preparatoria,Biología,2025-02-14,47.14,14,Estudio,3,Confundido,True,2.6
SESSION00295,Universitario,Biología,2025-01-03,51.31,17,Lluvia de Ideas,3,Idea Rezagada,True,2.8
SESSION00296,Universitario,Matemáticas,2024-06-24,7.44,1,Redacción,5,Idea Rezagada,True,5.0
SESSION00298,Universitario,Psicología,2024-11-28,21.84,5,Redacción,3,Tarea Completada,True,3.0
SESSION00299,Preparatoria,Matemáticas,2025-02-08,16.6,3,Programación,4,Confundido,True,4.2
SESSION00300,Universitario,Biología,2024-09-06,15.18,3,Programación,3,Tarea Completada,True,4.6
